feature_id,name,lat,lon,value,group_id,seq,sigungu,geom,source
A4,모래,36.003515,129.573363,모래,23,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.003643,129.573144,모래,23,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.003683,129.572953,모래,23,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.003695,129.572743,모래,23,3,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.003689,129.572543,모래,23,4,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.003672,129.572375,모래,23,5,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.003626,129.572201,모래,23,6,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.003553,129.572,모래,23,7,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.003421,129.57175,모래,23,8,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.0033,129.571546,모래,23,9,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.003193,129.571403,모래,23,10,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.003001,129.571137,모래,23,11,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.002891,129.571019,모래,23,12,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.002706,129.570865,모래,23,13,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.002584,129.570778,모래,23,14,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.002441,129.570666,모래,23,15,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.002276,129.5706,모래,23,16,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.002089,129.570552,모래,23,17,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.001945,129.570525,모래,23,18,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.001804,129.570518,모래,23,19,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.001598,129.570549,모래,23,20,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.001526,129.570624,모래,23,21,포항시,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.332759,129.379404,모래,52,0,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.332908,129.379352,모래,52,1,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.333057,129.379356,모래,52,2,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.33324,129.379427,모래,52,3,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.333299,129.3795,모래,52,4,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,부두,35.904292,129.528205,부두,125,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,35.904209,129.528022,부두,125,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,35.904648,129.527696,부두,125,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,35.904724,129.52785,부두,125,3,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,35.904731,129.527865,부두,125,4,포항시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.880472,129.418318,암반,173,0,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.88034,129.418397,암반,173,1,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.880246,129.418406,암반,173,2,울진군,polyline_point,국립해양조사원 해안선 2026
A4,부두,36.048856,129.577593,부두,204,0,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,36.049033,129.577379,부두,204,1,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,36.049168,129.577212,부두,204,2,포항시,polyline_point,국립해양조사원 해안선 2026
A4,부두,36.049313,129.577161,부두,204,3,포항시,polyline_point,국립해양조사원 해안선 2026
