ccmaName,ccbaMnm1,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaKdcd,ccbaCtcd,ccbaAsno,ccbaCncl,ccbaCpno,longitude,latitude,gcodeName,bcodeName,mcodeName,scodeName,ccbaLcad,ccceName,b_class,b_reason,has_coord,grade_w
국보,경주 불국사 다보탑,경북,경주시,불국사,11,37,0000200000000,N,1113700200000,129.332267999295,35.7899698186069,유적건조물,종교신앙,불교,탑,"<![CDATA[경북 경주시 불국로 385, 불국사 (진현동)]]>",통일신라시대 8세기,B2,석조물,Y,2.0
국보,경주 불국사 삼층석탑,경북,경주시,불국사,11,37,0000210000000,N,1113700210000,129.331984595091,35.7899677237892,유적건조물,종교신앙,불교,탑,"<![CDATA[경북 경주시 불국로 385, 불국사 (진현동)]]>",통일신라시대 8세기,B2,석조물,Y,2.0
국보,경주 불국사 연화교 및 칠보교,경북,경주시,불국사,11,37,0000220000000,N,1113700220000,129.331642804335,35.7897191051224,유적건조물,교통통신,교통,교량,"<![CDATA[경북 경주시 불국로 385, 불국사 (진현동)]]>",통일신라시대,B3,고분·유적지·가마·봉수,Y,2.0
국보,경주 불국사 청운교 및 백운교,경북,경주시,불국사,11,37,0000230000000,N,1113700230000,129.332158169199,35.7897229583531,유적건조물,교통통신,교통,교량,"<![CDATA[경북 경주시 불국로 385, 불국사 (진현동)]]>",통일신라시대,B3,고분·유적지·가마·봉수,Y,2.0
국보,경주 석굴암 석굴,경북,경주시,불국사,11,37,0000240000000,N,1113700240000,129.349242,35.794852,유적건조물,종교신앙,불교,불전,"<![CDATA[경상북도 경주시 석굴로  238(진현동, 석굴암) ]]>",통일신라시대,B1,사찰·불전·교회 등 경내 건축,Y,2.0
국보,경주 태종무열왕릉비,경북,경주시,경주시,11,37,0000250000000,N,1113700250000,129.188548279325,35.8251335576631,기록유산,서각류,금석각류,비,<![CDATA[경북 경주시 서악동 844-1번지 / (도로명)경주시 대경로 4859]]>,통일신라시대 초기,EXCLUDE,서책·문서 — 실내 소장품,Y,2.0
국보,경주 불국사 금동비로자나불좌상,경북,경주시,불국사,11,37,0000260000000,N,1113700260000,0,0,유물,불교조각,금속조,불상,<![CDATA[경북 경주시 진현동 15번지 불국사]]>,통일신라 경덕왕 8년(750),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,N,2.0
국보,경주 불국사 금동아미타여래좌상,경북,경주시,불국사,11,37,0000270000000,N,1113700270000,0,0,유물,불교조각,금속조,불상,"<![CDATA[경상북도 경주시 불국로  385(진현동, 불국사) ]]>",통일신라시대,EXCLUDE,회화·공예·실내 조각 — 소장처 실내,N,2.0
국보,경주 백률사 금동약사여래입상,경북,경주시,국립경주박물관,11,37,0000280000000,N,1113700280000,129.227912382125,35.8293874259588,유물,불교조각,금속조,불상,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",통일신라시대 8세기,EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
국보,성덕대왕신종,경북,경주시,국립경주박물관,11,37,0000290000000,N,1113700290000,129.227912382125,35.8293874259588,유물,불교공예,의식법구,의식법구,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동,국립경주박물관)]]>",통일신라 혜공왕 7년(771),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
국보,경주 분황사 모전석탑,경북,경주시,분황사,11,37,0000300000000,N,1113700300000,129.233641826763,35.840561548299,유적건조물,종교신앙,불교,탑,"<![CDATA[경북 경주시 분황로 94-11, 분황사 (구황동)]]>",신라 선덕여왕 3년(634),B2,석조물,Y,2.0
국보,경주 첨성대,경북,경주시,경주시,11,37,0000310000000,N,1113700310000,129.218993693668,35.834695848054,유물,과학기술,천문지리기구,천문,<![CDATA[경북 경주시 인왕동 839-1번지]]>,신라시대,EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
국보,경주 황복사지 삼층석탑,경북,경주시,경주시,11,37,0000370000000,N,1113700370000,129.242391005132,35.8321857175997,유적건조물,종교신앙,불교,탑,<![CDATA[경상북도 경주시 구황동 100 ]]>,통일신라시대,B2,석조물,Y,2.0
국보,경주 고선사지 삼층석탑,경북,경주시,경주시,11,37,0000380000000,N,1113700380000,129.229057533909,35.8281281391872,유적건조물,종교신앙,불교,탑,"<![CDATA[경북 경주시 일정로 186, 국립경주박물관 (인왕동)]]>",통일신라시대 초기,B2,석조물,Y,2.0
국보,경주 나원리 오층석탑,경북,경주시,경주시,11,37,0000390000000,N,1113700390000,129.212255439354,35.8936077546984,유적건조물,종교신앙,불교,탑,<![CDATA[경북 경주시 현곡면 라원리 676]]>,통일신라시대 초기,B2,석조물,Y,2.0
국보,경주 정혜사지 십삼층석탑,경북,경주시,경주시,11,37,0000400000000,N,1113700400000,129.157669514943,36.0190473494375,유적건조물,종교신앙,불교,탑,<![CDATA[경북 경주시 안강읍 옥산리 1654번지]]>,통일신라시대,B2,석조물,Y,2.0
국보,금관총 금관 및 금제 관식,경북,경주시,국립경주박물관,11,37,0000870000000,N,1113700870000,129.227912382125,35.8293874259588,유물,생활공예,금속공예,장신구,<![CDATA[경북 경주시 일정로 186 국립경주박물관]]>,신라시대(5세기),EXCLUDE,회화·공예·실내 조각 — 소장처 실내,Y,2.0
