u,v,length_m,highway
3759566193,9251915286,104.7,tertiary
9251915286,10831436205,169.6,tertiary
10831436205,10831436210,100.5,tertiary
10831436210,10831435204,34.7,tertiary
10831435204,529458552,16.3,tertiary
12421695069,436736922,6.1,secondary
10828161895,529792245,139.4,tertiary
530287011,529483789,40.5,tertiary
529483789,529483793,85.3,tertiary
529483793,13108208353,75.0,tertiary
13108208353,530286855,81.6,tertiary
530286855,4154289515,30.3,tertiary
4154289515,5373440850,148.3,tertiary
5373440850,529470376,49.9,tertiary
529470140,3759567183,10.2,tertiary
3759567183,5373391856,2.4,tertiary
436597949,436597950,51.8,primary
436597950,13061816136,3.5,primary
13061816136,436597951,39.9,primary
436597951,13061816119,16.7,primary
13061816119,3759566206,11.2,primary
3759566206,13061816090,77.2,primary
13061816090,2817930573,9.5,primary
2817930573,3759566222,7.7,primary
3759566222,13061816074,107.2,primary
13061816074,13061816053,15.5,primary
13061816053,3759566240,33.6,primary
3759566240,13061816015,105.1,primary
13061816015,3759566247,12.8,primary
3759566247,436597952,28.9,primary
436597952,436597953,19.6,primary
436597953,6479769507,32.9,primary
6479769507,529470105,62.3,primary
2259058206,2259057988,4.4,tertiary_link
2259057988,2259058011,4.2,tertiary_link
2259058011,2259057959,17.7,tertiary_link
2259057959,2259058314,16.3,tertiary_link
2259058314,2259058504,12.7,tertiary_link
2259058504,2259058548,10.0,tertiary_link
2259058610,312197992,18.4,tertiary
530286887,530286863,45.3,tertiary
530286863,530282340,55.0,tertiary
530282340,530286858,68.0,tertiary
530286858,530282331,92.6,tertiary
529483709,11079771522,39.7,residential
11079771522,13108208362,28.1,residential
13108208362,530286854,43.0,residential
530286854,530287010,91.2,residential
530287010,529483803,44.6,residential
529483803,529483791,40.0,residential
529483791,13108208356,14.3,residential
13108208356,530290137,18.2,residential
530290137,13108208354,20.1,residential
13108208354,529483793,28.7,residential
5373440846,10264358427,20.2,tertiary
10264358427,13108208344,21.7,tertiary
13108208344,530287001,20.8,tertiary
530287001,13108208323,39.2,tertiary
13108208323,4148023414,22.1,tertiary
4148023414,13108208331,59.9,tertiary
13108208331,530290070,6.0,tertiary
530290070,13108208342,34.0,tertiary
13108208342,529483796,38.9,tertiary
529483796,530290075,57.8,tertiary
530290075,530290073,33.1,tertiary
530290073,530290113,20.7,tertiary
530290113,530290111,23.2,tertiary
530290111,530290112,34.2,tertiary
530290112,530290120,25.3,tertiary
530290120,530290118,30.2,tertiary
529483798,530290030,34.4,tertiary
530290030,5373440849,31.8,tertiary
5373440849,529483799,27.4,tertiary
529483799,529483801,29.3,tertiary
529483801,7478900363,15.3,tertiary
7478900363,530290069,41.1,tertiary
530290069,11079771531,24.4,tertiary
11079771531,11079771533,67.0,tertiary
11079771533,530290105,13.4,tertiary
530290105,530290110,24.4,tertiary
530290110,530290109,24.0,tertiary
529483796,530287009,72.3,residential
530287009,530290136,41.7,residential
530290136,529483803,39.0,residential
2911126377,3972492219,122.9,tertiary
3972492219,13147463230,76.2,tertiary
13147463230,790705642,70.1,tertiary
790705642,790705515,146.1,tertiary
790705515,10855840667,85.1,tertiary
10855840667,790705614,86.0,tertiary
790705614,3972492218,95.8,tertiary
3972492218,2911126352,62.2,tertiary
2911126349,3972492221,31.6,tertiary
3972492221,790705515,100.1,tertiary
790705515,13585929643,53.7,tertiary
13585929643,13585929645,29.3,tertiary
13585929645,790705488,60.9,tertiary
790705488,904958832,41.5,tertiary
904958832,904958836,56.7,tertiary
904958836,12995205408,10.0,tertiary
12995205408,2818013373,122.7,tertiary
436666869,529470303,39.7,tertiary
529470303,6699605862,62.9,tertiary
6699605862,529470301,13.9,tertiary
529470301,529470299,54.4,tertiary
529470299,13602507946,63.3,tertiary
13602507946,529470297,25.1,tertiary
529470297,529470295,24.1,tertiary
529470295,529470293,36.1,tertiary
529470293,529470211,54.8,tertiary
529470211,529470209,55.8,tertiary
529470209,529470206,42.0,tertiary
529470206,529470204,42.7,tertiary
529470204,529470202,28.7,tertiary
529470202,529470200,41.0,tertiary
529470200,904021097,5.2,tertiary
904021097,11063244796,7.4,tertiary
11063244796,529470226,20.8,tertiary
529470226,903877051,12.9,tertiary
903877051,529470224,48.0,tertiary
4161735409,13065355402,154.7,tertiary
13065355402,13065355407,69.8,tertiary
13065355407,4627767700,75.3,tertiary
3017451146,790705488,146.5,tertiary
790705488,12785063530,26.8,tertiary
12785063530,12785063531,22.8,tertiary
12785063531,12995205406,4.1,tertiary
12995205406,12267530777,21.7,tertiary
12267530777,790705495,90.7,tertiary
436597966,13603975368,45.3,residential
13603975368,529778381,19.5,residential
529778381,529778405,19.6,residential
529778405,13588234977,8.2,residential
13588234977,529778404,58.7,residential
529778404,529778402,147.3,residential
529778402,10857622004,69.6,residential
10857622004,13065343618,24.9,residential
13065343618,4800629739,5.7,residential
4800629739,13584911660,63.5,residential
13584911660,12385823587,25.1,residential
12385823587,13584911621,13.7,residential
13584911621,529778409,17.3,residential
529778409,529778410,27.5,residential
529778406,12203555259,8.8,residential
12203555259,10857621955,54.7,residential
10857621955,13603718461,14.9,residential
13603718461,529778402,66.5,residential
529778402,529778403,22.8,residential
529778403,12385823578,68.2,residential
12385823578,13583188211,21.6,residential
13583188211,529778411,15.2,residential
529778411,529778412,10.7,residential
529778412,13584911717,0.9,residential
13584911717,10244156896,7.0,residential
10244156896,529778413,7.6,residential
529778413,529778414,10.3,residential
529778414,529778415,5.9,residential
10831435199,12342937702,111.8,residential
12342937702,13588441077,15.5,residential
13588441077,529778396,58.3,residential
529778396,13610551923,15.6,residential
13610551923,13588440997,14.4,residential
13588440997,529778367,27.2,residential
529778367,13588441007,6.3,residential
13588441007,529778363,38.9,residential
529778363,12525943411,2.7,residential
12525943411,529778364,20.9,residential
529778364,529778365,28.8,residential
529778365,529778366,16.8,residential
529778405,13588235084,88.1,residential
13588235084,6015522828,3.1,residential
6015522828,529778398,84.6,residential
529778416,529778417,85.8,residential
529778417,529778392,59.1,residential
529778381,529778417,88.6,residential
529778393,13604051855,75.9,residential
