amsmtFclty,appnNtfcDate,cltrFclty,cnvnncFclty,etcFclty,institutionNm,insttCode,insttNm,latitude,lnmadr,longitude,manageNo,mvmFclty,parkAr,parkNm,parkSe,phoneNumber,rdnmadr,referenceDate
조합놀이대 등,1993-10-04,,,,경상북도 경주시청,5050000,경상북도 경주시,36.001734,경상북도 경주시 안강읍 산대리 2404-4,129.1945256,47130-00040,야외운동기구 등,4052,꽃밭어린이공원,어린이공원,054-779-8789,,2025-10-31
조합놀이대 등,1996-07-01,,,,경상북도 경주시청,5050000,경상북도 경주시,35.85245676,경상북도 경주시 건천읍 건천리 177-45,129.1052549,47130-00041,야외운동기구 등,1500,단석어린이공원,어린이공원,054-779-8789,,2025-10-31
조합놀이대 등,1996-07-08,,,,경상북도 경주시청,5050000,경상북도 경주시,35.774167,경상북도 경주시 시래동 1004,129.308641,47130-00042,야외운동기구 등,1500,두림어린이공원,어린이공원,054-779-8789,,2025-10-31
조합놀이대 등,1996-07-08,,,,경상북도 경주시청,5050000,경상북도 경주시,35.84692712,경상북도 경주시 건천읍 건천리 628,129.109081,47130-00043,야외운동기구 등,1500,동심어린이공원,어린이공원,054-779-8789,,2025-10-31
,2002-04-06,,주차장+화장실,,경상북도 경주시청,5050000,경상북도 경주시,35.78708664,경상북도 경주시 진현동 88,129.330037,47130-00044,,95600,불국공원,근린공원,054-779-8789,,2025-10-31
,2003-11-06,,주차장+화장실,,경상북도 경주시청,5050000,경상북도 경주시,35.84539602,경상북도 경주시 충효동 1-3,129.1951202,47130-00045,,30000,흥무공원,근린공원,054-779-8789,,2025-10-31
,2005-12-29,,주차장+화장실,,경상북도 경주시청,5050000,경상북도 경주시,35.84014882,경상북도 경주시 구황동 883-44,129.2384489,47130-00046,,40570,분황사지구공원,근린공원,054-779-8789,,2025-10-31
,2012-08-06,,,,,5180000,경상북도 영덕군,36.40908444,경상북도 영덕군 영덕읍 남석리 18-1,129.3688526,47770-00004,,1910,남석어린이공원,어린이공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.53056698,경상북도 영덕군 영해면 성내리 산49-3,129.403867,47770-00005,,25767,성내공원,근린공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.51109257,경상북도 영덕군 축산면 축산리 산25,129.4457725,47770-00006,,22128,축산공원,근린공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.28567636,경상북도 영덕군 남정면 장사리 295-1,129.371154,47770-00007,,2020,장사2호 어린이공원,어린이공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.28384241,경상북도 영덕군 남정면 장사리 67-69,129.3739495,47770-00008,,2840,장사1호 어린이공원,어린이공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.61731127,경상북도 영덕군 병곡면 백석리 298-6,129.4119801,47770-00009,,3247,백석 1공원(백석지구),어린이공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.60027294,경상북도 영덕군 병곡면 병곡리 34-4,129.414812,47770-00010,,1100,병곡1호 어린이공원,어린이공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.41205257,경상북도 영덕군 영덕읍 덕곡리 129-13,129.3723374,47770-00011,,1500,덕곡제1어린이공원,어린이공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.40801857,경상북도 영덕군 영덕읍 우곡리 574,129.3750006,47770-00012,,4052,우곡제1어린이공원,어린이공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.54667153,경상북도 영덕군 창수면 신기리 63-1,129.3472207,47770-00013,,1944,신기1호 어린이공원,어린이공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.29021007,경상북도 영덕군 남정면 부흥리 153-3,129.3763777,47770-00014,,293,부흥3호공원,소공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.29210294,경상북도 영덕군 남정면 부흥리 96-1,129.377301,47770-00015,,2116,부흥2호공원,소공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.28935653,경상북도 영덕군 남정면 장사리 2-1,129.373762,47770-00016,,2265,부흥1호공원,소공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.6071138,경상북도 영덕군 병곡면 병곡리 1-3,129.4146093,47770-00017,,800,백석 4공원(백석지구),소공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.39479541,경상북도 영덕군 강구면 금호리 1402,129.3776173,47770-00018,,2156,소공원1(로하스농공단지),소공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.61028444,경상북도 영덕군 병곡면 백석리 472-1,129.4135005,47770-00019,,1135,백석 3공원(백석지구),소공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.61243309,경상북도 영덕군 병곡면 백석리 727-2,129.4125138,47770-00020,,847,백석 2공원(백석지구),소공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.40877987,경상북도 영덕군 영덕읍 우곡리 525,129.374727,47770-00021,,510,우곡 제1소공원,소공원,,,2024-11-20
,2015-09-30,,,,,5180000,경상북도 영덕군,36.40740718,경상북도 영덕군 영덕읍 우곡리 575,129.3749042,47770-00022,,280,우곡 제2소공원,소공원,,,2024-11-20
,2020-04-13,,,,,5180000,경상북도 영덕군,36.45098626,경상북도 영덕군 영덕읍 매정리 1175,129.4073249,47770-00023,,2470,소공원1(제2농공단지),소공원,,,2024-11-20
,2020-11-27,,,,,5180000,경상북도 영덕군,36.41857593,경상북도 영덕군 영덕읍 창포리 산29,129.4190435,47770-00024,,1045876,산림생태 문화공원,근린공원,,,2024-11-20
,2021-07-22,,,,,5180000,경상북도 영덕군,36.35972637,경상북도 영덕군 강구면 강구리 302,129.3859779,47770-00025,,1730,강구제2소공원,소공원,,,2024-11-20
,2021-07-22,,,,,5180000,경상북도 영덕군,36.35989132,경상북도 영덕군 강구면 강구리 산45,129.3846257,47770-00026,,1499,강구제1소공원,소공원,,,2024-11-20
,1974-06-10,,,,,5180000,경상북도 영덕군,36.54288003,경상북도 영덕군 영해면 괴시리 340,129.4193865,47770-00001,,11434,괴시공원,근린공원,,,2024-11-20
,1999-12-10,,,,,5180000,경상북도 영덕군,36.36298776,경상북도 영덕군 강구면 강구리 산67,129.3899579,47770-00002,,110400,강구공원,근린공원,,,2024-11-20
,1999-12-16,,,,,5180000,경상북도 영덕군,36.41827093,경상북도 영덕군 영덕읍 화개리 산9,129.3694607,47770-00003,,13117,화개공원,근린공원,,,2024-11-20
,2011-06-22,,,,경상북도 울진군청,5250000,경상북도 울진군,37.0655992,경상북도 울진군 죽변면 후정리 1266,129.4057551,47930-00016,생활운동시설,1419,해양바이오농공단지2공원,소공원,054-789-6372,,2023-12-22
,1983-12-12,기념탑,,,경상북도 울진군청,5250000,경상북도 울진군,37.10689235,경상북도 울진군 북면 부구리 산2-2,129.3733463,47930-00017,,24521,흥부만세공원,역사공원,054-789-6372,,2023-12-22
,1973-09-06,청소년수련관+과학체험관,주차장+매점+화장실,어린이집,경상북도 울진군청,5250000,경상북도 울진군,36.99465357,경상북도 울진군 울진읍 연지리 820-6,129.4065593,47930-00001,실내체육관,150440,연지공원,근린공원,054-789-6372,경상북도 울진군 울진읍 연호로 47,2023-12-22
,2017-07-13,,주차장+화장실,망양정,경상북도 울진군청,5250000,경상북도 울진군,36.965299,경상북도 울진군 근남면 산포리 667,129.413854,47930-00002,생활운동시설,28868,망양공원,근린공원,054-789-6372,,2023-12-22
,1977-04-28,유적관+광장,주차장+화장실,,경상북도 울진군청,5250000,경상북도 울진군,36.68078721,경상북도 울진군 후포면 후포리 산141-9,129.4619186,47930-00003,생활운동시설,42363,후포공원,근린공원,054-789-6372,경상북도 울진군 후포면 등기산길 29,2023-12-22
미끄럼틀+시소 등,2001-11-23,,,,경상북도 울진군청,5250000,경상북도 울진군,36.99119225,경상북도 울진군 울진읍 읍내리 384-3,129.3956196,47930-00004,생활운동시설,1600,읍내 4공원,어린이공원,054-789-6372,경상북도 울진군 울진읍 월변2길 56-21,2023-12-22
미끄럼틀+시소 등,1992-05-01,,정자,,경상북도 울진군청,5250000,경상북도 울진군,36.72332823,경상북도 울진군 평해읍 평해리 868-1,129.4400137,47930-00005,생활운동시설,1885,송능공원,어린이공원,054-789-6372,,2023-12-22
미끄럼틀+시소 등,1983-12-12,,,,한수원㈜ 한울원자력본부,5250000,경상북도 울진군,37.11002079,경상북도 울진군 북면 나곡리 184,129.3697186,47930-00006,생활운동시설,6210,나곡제1공원,어린이공원,,경상북도 울진군 북면 울진북로 2149,2023-12-22
미끄럼틀+시소 등,1983-12-12,,,,한수원㈜ 한울원자력본부,5250000,경상북도 울진군,37.11002079,경상북도 울진군 북면 나곡리 202,129.3697186,47930-00007,생활운동시설,3230,나곡제2공원,어린이공원,,경상북도 울진군 북면 울진북로 2149,2023-12-22
종합놀이기구,2015-07-13,,,,경상북도 울진군청,5250000,경상북도 울진군,37.10599525,경상북도 울진군 북면 부구리 산7,129.3677821,47930-00008,생활운동시설,2746,부구제2공원,어린이공원,054-789-6372,,2023-12-22
,1977-07-28,,,,경상북도 울진군청,5250000,경상북도 울진군,37.06088124,경상북도 울진군 죽변면 죽변리 433-4,129.4191561,47930-00009,죽변게이트볼장,1800,중앙공원,어린이공원,054-789-6372,경상북도 울진군 죽변면 죽변7길 22-7,2023-12-22
미끄럼틀+시소 등,1977-07-28,,화장실,,경상북도 울진군청,5250000,경상북도 울진군,37.0662987,경상북도 울진군 죽변면 후정리 40-1,129.4172479,47930-00010,생활운동시설,2700,북부공원,어린이공원,054-789-6372,경상북도 울진군 죽변면 후정2길 20-13,2023-12-22
미끄럼틀+시소 등,1985-08-03,,,,경상북도 울진군청,5250000,경상북도 울진군,36.68439657,경상북도 울진군 후포면 삼율리 530-27,129.4407398,47930-00011,농구장,879,삼율제1어린이공원,어린이공원,054-789-6372,경상북도 울진군 후포면 상밤터1길 40,2023-12-22
,2010-10-01,,,,경상북도 울진군청,5250000,경상북도 울진군,36.73275811,경상북도 울진군 평해읍 평해리 1467,129.4393249,47930-00012,생활운동시설,2000,평해1소공원,소공원,054-789-6372,,2023-12-22
미끄럼틀+시소 등,2009-04-09,,,,경상북도 울진군청,5250000,경상북도 울진군,37.06388754,경상북도 울진군 죽변면 후정리 1209,129.4128835,47930-00013,생활운동시설,1012,신울진공원,소공원,054-789-6372,,2023-12-22
,2014-04-24,,,,경상북도 울진군청,5250000,경상북도 울진군,36.75401437,경상북도 울진군 기성면 구산리 312-140,129.4674293,47930-00014,생활운동시설,1636,구산소공원,소공원,054-789-6372,,2023-12-22
,2011-06-22,,,,경상북도 울진군청,5250000,경상북도 울진군,37.06622732,경상북도 울진군 죽변면 후정리 1259,129.4054826,47930-00015,생활운동시설,1185,해양바이오농공단지1공원,소공원,054-789-6372,,2023-12-22
조합놀이대 등,2009-02-27,,,,경상북도 경주시청,5050000,경상북도 경주시,35.883463,경상북도 경주시 황성동 1164,129.2197148,47130-00047,야외운동기구 등,2392,현진어린이공원,어린이공원,054-779-8789,,2025-10-31
,2009-08-17,,주차장+화장실,,경상북도 경주시청,5050000,경상북도 경주시,35.840791,경상북도 경주시 구황동 2-4,129.2473168,47130-00048,야외운동기구 등,27343,신라왕경숲공원,문화공원,054-779-8789,,2025-10-31
,2010-12-23,,주차장+화장실,,경상북도 경주시청 환경과,5050000,경상북도 경주시,35.757105,경상북도 경주시 산내면 외칠리 14-15,129.0410778,47130-00049,,18520,외칠공원,수변공원,,,2025-10-31
,2010-12-30,,,,경상북도 경주시청,5050000,경상북도 경주시,35.84357428,경상북도 경주시 구황동 883-14,129.229269,47130-00050,,930,화랑공원,소공원,054-779-8789,,2025-10-31
,2010-12-30,,,,경상북도 경주시청,5050000,경상북도 경주시,35.871815,경상북도 경주시 황성동 1073-6,129.2148807,47130-00051,,2390,황성2공원,소공원,054-779-8789,,2025-10-31
,2010-12-30,,,,경상북도 경주시청,5050000,경상북도 경주시,35.872593,경상북도 경주시 황성동 1074-3,129.2138095,47130-00052,,3420,황성1공원,소공원,054-779-8789,,2025-10-31
조합놀이대 등,2006-03-16,,,,경상북도 경주시청,5050000,경상북도 경주시,35.8837543,경상북도 경주시 황성동 1241,129.2229952,47130-00053,야외운동기구 등,2294,1호어린이공원,어린이공원,054-779-8789,,2025-10-31
조합놀이대 등,2006-03-16,,,,경상북도 경주시청,5050000,경상북도 경주시,35.88189002,경상북도 경주시 용강동 1504,129.2263997,47130-00054,야외운동기구 등,1809,2호어린이공원,어린이공원,054-779-8789,,2025-10-31
조합놀이대 등,2006-03-16,,,,경상북도 경주시청,5050000,경상북도 경주시,35.8825826,경상북도 경주시 용강동 1672,129.230054,47130-00055,야외운동기구 등,2020,3호어린이공원,어린이공원,054-779-8789,,2025-10-31
,2006-03-16,,화장실,,경상북도 경주시청,5050000,경상북도 경주시,35.8857335,경상북도 경주시 용강동 1610,129.2268798,47130-00056,야외운동기구 등,10428,근린공원(용황휴포레),근린공원,054-779-8789,,2025-10-31
,1996-07-01,,,,경상북도 경주시청,5050000,경상북도 경주시,35.675639,경상북도 경주시 외동읍 모화리 1852,129.332312,47130-00057,야외운동기구 등,10470,계동공원,근린공원,054-779-8789,,2025-10-31
,1987-08-29,,,,경상북도 경주시청,5050000,경상북도 경주시,35.861339,경상북도 경주시 용강동 1333-1,129.224613,47130-00014,,2745,용강고분공원,어린이공원,054-779-8789,,2025-10-31
조합놀이대 등,1987-08-29,,,,경상북도 경주시청,5050000,경상북도 경주시,35.860675,경상북도 경주시 용강동 1342-1,129.225871,47130-00015,야외운동기구 등,1500,소금강어린이공원,어린이공원,054-779-8789,,2025-10-31
